spotify_rank,title,artist,track_id,popularity,duration_ms,explicit
1,Wildflower,Beach House,24bzJwjGBWtGCs7xKIKQsB,66,219453,False
2,Perfectly Out Of Place,Dreams We've Had,5jtbhF7zGZR4YRMxhLV4V8,41,293454,False
3,After the Moment,Craft Spells,01nIMkXQLxBmDKDtQCimM6,0,243658,False
4,Show Me How,Men I Trust,01TyFEZu6mHbffsVfxgrFn,3,215110,False
5,Breathless,Small Black,7MPSPxCd6aiGZwN0ro0ZSH,0,226280,False
6,In Absentia,Cathedral Bells,4w4me43HNpoIpzrEKM1XGP,0,199510,False
7,Walk in the Park,Beach House,4oNXgGnumnu5oIXXyP8StH,0,322760,False
8,Anymore,Surf Rock Is Dead,26SrlxK6EhVa7EWJ6w5uhE,0,197596,False
9,Dizzy On the Comedown,Turnover,0kCF7dfqwrw1YEf6LK0B1p,0,255773,False
10,Secrets,The Bilinda Butchers,5WHrbMnpBRJCHsQUrGYmxu,36,336521,False
11,I Don't Know You,The Marías,4cJOLN346rtOty3UPACsao,0,209449,False
12,Fillmore County,"Vansire, FLOOR CRY",43rib0UYJnyrxiIkhamjlY,0,182025,False
13,Heavy Water/I'd Rather Be Sleeping,Grouper,6IUwiHsyKAZtfBy37Wu4ij,49,173026,False
14,Cocaine,Dreams We've Had,5WNDXcsnWSzWvQl7oPIEeT,24,364500,False
15,Space Song,Beach House,7H0ya83CMmgFcOhw0UB6ow,77,320466,False
16,Ghostride,Crumb,476QHG5G8xxNI9VHTBFfjp,0,126120,False
17,Jeune,Ruby Haunt,51tJQf4oxTMvONqstKnqmR,35,258876,False
18,Telephone,"CASTLEBEAT, Sonia Gadhia",6xJSVfI6xi51iJrbm9KjXb,0,209274,False
19,Sleep Apnea,Beach Fossils,34LohAliZ2QKydqVJcFpwV,0,146293,False
20,Sodus,Cemeteries,1cyRoWGazsa8Vr5qlDfvPP,54,398851,False
21,Sidewalk,Momma,0AruNp6u8BWaYJL60JrKdQ,0,185758,False
22,Nice to See You,"Vansire, FLOOR CRY",7nEZZ1mWK7h98x8ENbQuqJ,0,181677,False
23,Extension Cord,Fog Lake,4fcitkwj32DFTkqMUGONUu,0,190407,False
24,Nightlight Girl,Turnover,3bdc7OoVK971mkwLno0cAz,0,226862,False
25,Wedding Crasher,"Dream, Ivory",1sbipnxbVjDy3kxrAavIoX,0,251405,False
26,Hazy,VULPIX,0qaEJgRNOChRTa6sS1NhJ7,30,266000,False
27,Relax,Vacations,1GHjBjnMJQ420waXq6Ut6I,0,158573,False
28,Heavenly,Cigarettes After Sex,1Bh0UzthW8pKEnYg7v40Oa,1,288595,False
29,Eclipse,Inner Wave,4YLTFu7iyC3q34dvf5hRDq,0,183633,False
30,Thursday,Asobi Seksu,4TzJGnsfwbBCkJGeunCpVK,0,257173,False
31,Crashed Out,Beach Fossils,3EWRWKU5n62hhp8vgPwgfZ,0,204620,False
32,Instant Love,Marble Arch,0SYKAyKuJ44it3586U8XWS,0,250577,False
33,Conduct 2,HOUNDSds,4jXk0iIhcLulPYZ5HU2K8P,12,284650,False
34,Old Town,Say Sue Me,0BTaF7WdhyGDuYoQJtv6vb,29,233410,True
35,Drunk In LA,Beach House,3AJsTNjbYSH4odSmP1I6ox,0,239306,False
36,Football,CQ Wrestling,7I2XytQ23omSfUfG7JSjYT,23,203902,False
37,Sun's Out,Hoops,7M9LKoGmelhGBj5jQACPd8,39,169016,False
38,Pendulum,Pure Bathing Culture,4DN8w5wT01BCgJQdjvMaGi,0,237582,False
39,Day Dream,Beach Fossils,4gm0sPmthOSICA82Dtol6D,0,184146,False
40,"Us, Together",Yumi Zouma,0tx9tLDxgsFPbkwXV0mDUy,0,231546,False
41,Always,Melted Toys,5Omjn5QunxCALPISaMJ5K6,0,242498,False
42,Pulling Our Weight,The Radio Dept.,0ANkVKMExMdJxl1g88fWJT,0,201066,False
43,Cannons,Youth Lagoon,2q4gGYNmNYNyqgpVmGJH0c,0,224773,False
44,Adversity,Beach Fossils,0HPCLfG38YNyay8Erznli1,0,243306,False
45,Leaves,Fanclub,1Rw3gR78vpdrymyM3AhZ5x,0,195480,False
46,Brain Dead,Triathalon,6lUJAypVpKhMznxO2sAPqd,0,186910,False
47,Darling,Real Estate,7Lpi2otSpwKiTpFsdDKEzP,0,260386,False
48,Moving Out,Vacations,5lLz6hpqvOxKJ5JEoU8otF,0,190500,False
49,Beyond the Infinite,Brothertiger,43oYosEmgldBQfuVgDQ5F4,0,296936,False
50,Société Anonyme,Lower Dens,3Y38zzhKEvoZeWONUewG1f,26,200493,False
