track_name,track_id,artist_name,artist_id,album_name,popularity,duration_ms,explicit,artist_genres
Wildflower,24bzJwjGBWtGCs7xKIKQsB,Beach House,56ZTgzPBDge0OvCGgMO3OY,Depression Cherry,66,219453,False,['dream pop']
Perfectly Out Of Place,5jtbhF7zGZR4YRMxhLV4V8,Dreams We've Had,5LkgVE79AHNZN7kMukfJFv,Everything And You,41,293454,False,['dream pop']
After the Moment,01nIMkXQLxBmDKDtQCimM6,Craft Spells,16lg8y62dC3J6ok1pNAbFJ,After the Moment,0,243658,False,"['dream pop', 'chillwave']"
Show Me How,01TyFEZu6mHbffsVfxgrFn,Men I Trust,3zmfs9cQwzJl575W1ZYXeT,Show Me How,3,215110,False,"['bedroom pop', 'indie pop']"
Breathless,7MPSPxCd6aiGZwN0ro0ZSH,Small Black,1J6xqDysFw6YiQ0vMvIKds,Limits of Desire,0,226280,False,"['chillwave', 'dream pop']"
In Absentia,4w4me43HNpoIpzrEKM1XGP,Cathedral Bells,0a7RruzBySceAPGfmFZtQ2,Velvet Spirit,0,199510,False,"['dream pop', 'shoegaze']"
Walk in the Park,4oNXgGnumnu5oIXXyP8StH,Beach House,56ZTgzPBDge0OvCGgMO3OY,Teen Dream,0,322760,False,['dream pop']
Anymore,26SrlxK6EhVa7EWJ6w5uhE,Surf Rock Is Dead,5iwmHxCi5pm28BEykL5Fyd,Anymore,0,197596,False,"['surf rock', 'dream pop', 'shoegaze']"
Dizzy On the Comedown,0kCF7dfqwrw1YEf6LK0B1p,Turnover,0gLjJuczGWhqKVMmVpIT52,Peripheral Vision,0,255773,False,"['midwest emo', 'dream pop', 'pop punk']"
Secrets,5WHrbMnpBRJCHsQUrGYmxu,The Bilinda Butchers,6TnZQyc6gSnomokLLI8mya,"Regret, Love, Guilt, Dreams",36,336521,False,"['dream pop', 'shoegaze']"
I Don't Know You,4cJOLN346rtOty3UPACsao,The Marías,2sSGPbdZJkaSE2AbcGOACx,I Don't Know You,0,209449,False,['bedroom pop']
Fillmore County,43rib0UYJnyrxiIkhamjlY,"Vansire, FLOOR CRY",6ft7JnxMyZhp7N52qzHymY,After Fillmore County,0,182025,False,['bedroom pop']
